VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ModelYear,Make,Model,VehicleDescription,VehicleId
https://static.nhtsa.gov/images/vehicles/13221_st0640_046.png,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2022/v09252P001.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v09252C001.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v09254P104.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v09254C012.wmv,5,5,5,4,Not Rated,0.107,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v09253P072.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v09253C012.wmv,Standard,Standard,Standard,2,0,0,2022,ACURA,ILX,2022 Acura ILX 4 DR FWD,16483
https://static.nhtsa.gov/images/vehicles/15123_st0640_046.png,Not Rated,4,4,4,https://static.nhtsa.gov/crashTest/images/2022/v11663P084.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11663C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v11661P105.JPG,https://static.nhtsa.gov/crashTest/videos/2022/v11661C013.MP4,5,5,5,Not Rated,Not Rated,0,0, ,5,https://static.nhtsa.gov/crashTest/images/2022/v11662P074.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11662C013.wmv,Standard,Standard,Standard,47,1,0,2022,ACURA,MDX,2022 Acura MDX SUV AWD,15925
https://static.nhtsa.gov/images/vehicles/15123_st0640_046.png,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2022/v11663P084.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11663C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v11661P105.JPG,https://static.nhtsa.gov/crashTest/videos/2022/v11661C013.MP4,5,5,5,4,Not Rated,0.151,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v11662P074.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11662C013.wmv,Standard,Standard,Standard,47,1,0,2022,ACURA,MDX,2022 Acura MDX SUV FWD,15924
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,No,No,0,0,0,2022,ACURA,NSX,2022 Acura NSX 2 DR AWD,17013
,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2022/v10556P080.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10556C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v10364P104.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10364C013.wmv,5,5,5,4,Not Rated,0.15,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v10365P072.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10365C013.wmv,Standard,Standard,Standard,16,1,0,2022,ACURA,RDX,2022 Acura RDX SUV AWD,16838
,5,4,4,4,https://static.nhtsa.gov/crashTest/images/2022/v10556P080.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10556C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v10364P104.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10364C013.wmv,5,5,5,4,Not Rated,0.165,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v10365P072.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v10365C013.wmv,Standard,Standard,Standard,16,1,0,2022,ACURA,RDX,2022 Acura RDX SUV FWD,16837
,5,5,5,4,https://static.nhtsa.gov/crashTest/images/2022/v11356P001.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11356C001.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v11348P001.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11348C013.wmv,5,5,5,5,Not Rated,0.09,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v11353P001.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11353C013.wmv,Standard,Standard,Standard,8,1,0,2022,ACURA,TLX,2022 Acura TLX 4 DR AWD,16488
,5,5,5,4,https://static.nhtsa.gov/crashTest/images/2022/v11356P001.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11356C001.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2022/v11348P001.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11348C013.wmv,5,5,5,5,Not Rated,0.09,0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2022/v11353P001.jpg,https://static.nhtsa.gov/crashTest/videos/2022/v11353C013.wmv,Standard,Standard,Standard,8,1,0,2022,ACURA,TLX,2022 Acura TLX 4 DR FWD,16484
https://static.nhtsa.gov/images/vehicles/14944_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Optional,No,0,0,0,2022,ALFA,GIULIA,2022 Alfa Giulia 4 DR AWD,16476
https://static.nhtsa.gov/images/vehicles/14944_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Optional,No,0,0,0,2022,ALFA,GIULIA,2022 Alfa Giulia 4 DR RWD,16452
https://static.nhtsa.gov/images/vehicles/14944_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Optional,No,0,0,0,2022,ALFA,GIULIA QUADRIFOGLIO,2022 Alfa Giulia Quadrifoglio 4 DR RWD,16453
https://static.nhtsa.gov/images/vehicles/14943_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Optional,No,0,0,0,2022,ALFA,STELVIO,2022 Alfa Stelvio SUV AWD,16477
https://static.nhtsa.gov/images/vehicles/14943_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Optional,No,0,0,0,2022,ALFA,STELVIO,2022 Alfa Stelvio SUV RWD,16454
https://static.nhtsa.gov/images/vehicles/14943_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Optional,No,0,0,0,2022,ALFA,STELVIO QUADRIFOGLIO,2022 Alfa Stelvio Quadrifoglio SUV AWD,16455
,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,,,Standard,Standard,No,4,6,0,2022,AUDI,AUDI A3,2022 Audi Audi A3 4 DR AWD,16588
